"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,8,16,72,2,12,1,9,67,0,24,70,6.5
13.7,7,17,97,7,24,1,11,39,0,43,27.5,4
18.3,4,19,49,16,10,1,2,22,0,16,20,1.5
54.9,6,30,66,13,31,3,5,30,0.5,14,20,3
77.7,5,44,95,17,40,3,12,59,0,16,23.5,1
