"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.conifer","Other.hardwood","Pine","Spruce"
0,3,6,45,0,9,3,5,12,0,21,11,9.5
9.1,3,9,54,2,5,1,2,9,0,32,10.5,8
14.6,2,9,53,4,6,1,4,4,0,17,5.5,3.5
18.2,1,22,43,3,7,2,5,10,0,38,11,2.5
63.7,5,52,62,3,40,4,5,10,0.5,26,10,19
