"depths","Ash","Beech","Birch","Chestnut","Hemlock","Hickory","Maple","Oak","Other.hardwood","Pine","Spruce"
0,12,4,55,1,6,3,13,56,33,29.5,3.5
18.2,20,3,55,2,2,2,6,30,23,20,1
22.8,21,9,92,3,12,5,3,30,43,14.5,1
27.3,5,11,43,11,3,5,5,34,32,27,2.5
61,11,20,59,19,17,5,9,41,22,48,5.5
81,8,23,47,31,15,12,11,58,10,56.5,2
